reward,StopLoss,enter_at,close_at,typeMA,MA_period,ATR_period,ATR_multi
-0.04547761,0.0061,0.41,0.867,24,11,497,11.006
-0.04547273,0.0047,0.356,0.772,29,11,753,14.397
-0.04545913,0.007,0.306,0.855,24,16,612,13.903
-0.04545449,0.0035,0.414,0.794,24,12,664,13.683
-0.04543533,0.0082,0.51,0.976,26,24,627,14.49
-0.04543233,0.0074,0.177,0.688,24,83,608,13.556
-0.04539425,0.0076,0.5,0.744,28,11,750,13.925
-0.04530685,0.0077,0.488,0.967,6,9,595,14.756
-0.04530242,0.0068,0.403,0.994,24,16,622,12.493
-0.04527501,0.0088,0.409,0.995,24,16,553,13.465
-0.04525033,0.0035,0.079,0.94,4,13,739,12.215
-0.0452461,0.0084,0.488,0.884,27,9,644,14.756
-0.04520499,0.0094,0.428,0.9,28,6,877,13.194
-0.04519892,0.0048,0.66,0.94,23,7,676,12.331
-0.04511914,0.0075,0.306,0.917,22,13,492,14.334
-0.04505653,0.0051,0.542,0.999,30,11,726,14.241
-0.04504484,0.0044,0.268,0.792,6,5,925,13.296
-0.04500282,0.009,0.432,0.853,24,27,739,14.01
-0.04498428,0.0066,0.38,0.943,21,18,768,10.56
-0.04497502,0.0141,0.5,0.849,21,5,775,13.764
-0.04495699,0.0139,0.335,0.765,28,5,929,14.934
-0.04495667,0.0028,0.298,0.924,24,99,631,10.209
-0.04491351,0.007,0.01,0.936,15,25,950,14.539
-0.04485839,0.0024,0.341,0.883,19,93,429,14.474
-0.04471065,0.0065,0.426,0.946,29,13,648,13.351
-0.04470956,0.0145,0.412,0.974,12,5,572,13.761
-0.04468737,0.0136,0.486,0.996,28,19,402,14.119
-0.04466785,0.0081,0.631,0.98,28,13,566,12.371
-0.04456822,0.0051,0.32,0.609,24,8,712,10.747
-0.04449444,0.0083,0.579,0.941,24,69,694,13.244
-0.04441159,0.0073,0.463,0.962,25,10,544,14.143
-0.0442887,0.0073,0.272,0.975,24,15,460,14.206
-0.04426969,0.0065,0.662,0.914,29,15,595,12.759
-0.04423227,0.0044,0.33,0.792,6,5,829,13.291
-0.04412475,0.0065,0.479,0.724,24,5,584,11.139
-0.04411427,0.0096,0.298,0.827,24,19,642,14.855
-0.04401361,0.0106,0.521,0.886,26,12,749,13.314
-0.0439891,0.0128,0.418,0.733,28,5,659,14.385
-0.04396008,0.0134,0.198,0.957,8,74,91,13.72
-0.04391376,0.0103,0.298,0.808,24,12,626,13.476
-0.04389392,0.0078,0.382,0.826,24,16,622,14.18
-0.04383852,0.0078,0.364,0.863,26,11,959,14.538
-0.04383263,0.0143,0.544,0.729,24,21,897,13.882
-0.04376496,0.0095,0.338,0.811,27,6,708,11.335
-0.04368614,0.0089,0.563,0.875,23,6,682,13.946
-0.04360448,0.0028,0.293,0.924,24,99,625,10.209
-0.04357421,0.0101,0.409,0.723,24,6,497,11.987
-0.0435716,0.0059,0.522,0.848,27,6,637,14.797
-0.04355811,0.0066,0.622,0.916,29,9,725,12.737
-0.04345708,0.0107,0.5,0.89,29,12,915,14.731
-0.0433898,0.0082,0.333,0.898,22,12,654,13.4
-0.04336756,0.0076,0.452,0.977,30,16,771,13.532
-0.04336177,0.0063,0.152,0.86,24,112,500,11.769
-0.04335523,0.0089,0.508,0.886,27,6,682,13.974
-0.04329944,0.0086,0.458,0.756,20,9,574,14.059
-0.04325117,0.0098,0.402,0.937,23,4,472,12.064
-0.04324004,0.0106,0.318,0.928,24,30,597,14.796
-0.0431774,0.0131,0.358,0.766,22,7,427,13.142
-0.04313046,0.0083,0.142,0.97,22,13,604,13.396
-0.04312956,0.0141,0.331,0.864,24,28,446,14.219
-0.04312714,0.0091,0.551,0.928,18,9,597,14.861
-0.04310936,0.0086,0.314,0.756,13,9,638,12.841
-0.04309646,0.0098,0.517,0.652,23,4,852,12.384
-0.04307497,0.0105,0.426,0.797,23,8,604,13.363
-0.04303531,0.0048,0.666,0.94,23,12,653,12.307
-0.04303493,0.0116,0.388,0.93,24,30,463,14.418
-0.04300447,0.0141,0.041,0.729,24,21,862,14.929
-0.04294398,0.0077,0.043,0.729,24,38,122,14.591
-0.04291257,0.0032,0.391,0.823,25,5,757,12.436
-0.04285674,0.0074,0.603,0.966,27,11,771,12.94
-0.04285049,0.0063,0.063,0.818,4,6,660,12.097
-0.04283339,0.0076,0.485,0.994,22,19,113,10.202
-0.04278903,0.0068,0.593,0.982,22,12,742,11.448
-0.04277367,0.0076,0.046,0.729,24,38,122,14.591
-0.04260097,0.0059,0.309,0.906,30,7,677,9.821
-0.04258939,0.0119,0.506,0.787,27,6,478,13.263
-0.04246753,0.007,0.554,0.875,18,6,641,13.879
-0.0423985,0.007,0.328,0.996,23,29,626,13.887
